Id,Label,Curia,GovControl,Naz,Agress,Social,Decentr,Compass,Debates
1,Аверьянов Иван,common,0.75,1.75,-0.285714285714286,1.25,0,14,346
2,Агишев Ирек,common,0.5,-0.75,1.28571428571429,0.75,1.25,0,406
3,Албуров Георгий,common,-1.5,-0.25,0.428571428571429,-1.25,1,84,1601
4,Александрова-Зорина Елизавета,common,2.5,1.5,0.571428571428571,2,2,3,359
5,Аншаков Михаил,common,0,-0.75,0.142857142857143,0.25,1,71,1141
6,Ашурков Владимир,common,-2,-1,0.142857142857143,-1.25,0.5,97,1952
7,Бабченко Аркадий,common,-1,-0.5,0.857142857142857,0.25,0.75,117,793
8,Бадыкова Фиалка,common,1.5,0.75,1,1.25,2,17,255
9,Бакиров Игорь,common,-1.75,0.25,0.571428571428571,0.5,1.5,33,204
10,Баласанов Андрей,common,-1.75,-1,0.285714285714286,0.5,2,12,122
11,Барабаш Кирилл,common,2.5,1.5,0.142857142857143,1.75,0.75,12,132
12,Баронова Мария,common,-0.75,-0.75,0.285714285714286,1,1.75,42,811
13,Беззуб Алексей,common,-1.75,-0.5,0.285714285714286,-0.25,1.25,54,1061
14,Безруких Олег,common,-0.75,-0.75,0.571428571428571,-0.5,1.75,33,752
15,Бескоровайный Алексей,common,-1.5,-0.5,0.571428571428571,1,1.75,42,1169
16,Билунов Денис,common,-0.75,-0.5,1.28571428571429,0.5,1.5,68,1003
17,Блиндул Алексей,common,1.5,1,0.142857142857143,0.75,1.75,21,267
18,Богомолов Юрий,common,-2,-0.25,1.14285714285714,0,1.5,36,995
19,Брусиловский Максим,common,0.25,0.75,0.285714285714286,0.25,-0.25,41,530
20,Будникова Софья,common,1.25,1.75,1.28571428571429,1.25,-0.25,8,303
21,Бурашников Дмитрий,common,-0.5,0.5,0.285714285714286,0.25,0.25,65,792
22,Быстров Андрей,common,-1.75,0,0.428571428571429,-0.75,1.5,78,1051
23,Васильева Елена,common,-2.25,-0.25,0.428571428571429,-0.25,1.75,35,882
24,Верзилов Петр,common,0,-1.25,0.285714285714286,1.5,1.75,18,445
25,Виноградов Сергей,common,-0.25,1,1.14285714285714,-0.5,0,17,612
26,Винокуров Александр,common,-1.75,-1.5,0.285714285714286,-0.75,2,16,1077
27,Вистицкий Михаил,common,-0.75,0.75,1.85714285714286,0.5,2,20,469
28,Витухновская Алина,common,-2.25,0.25,1.57142857142857,1.25,1,7,205
29,Власов Сергей,common,-1.5,0.25,-0.285714285714286,-0.25,-0.5,27,0
30,Волкова Елена,common,1,-0.75,0.285714285714286,2,1.25,0,596
31,Гаврилов Андрей,common,-2.25,0,-0.571428571428571,-0.25,0.25,39,568
32,Газарян Сурен,common,-1.25,-1.25,-0.714285714285714,0,1.25,110,1181
33,Галямина Юлия,common,-1.75,-0.75,0.142857142857143,-1.25,1.75,46,962
34,Гарначук Владимир,common,-1.75,-0.75,0.142857142857143,-1,0.75,97,485
35,Гельфанд Михаил,common,-2.25,-1.5,-0.285714285714286,-1,0.75,84,1059
36,Глускин Владимир,common,1.75,1.5,0.428571428571429,1,0.5,20,82
37,Головин Дмитрий,common,-2,-1,0.571428571428571,-0.5,1.5,46,505
38,Гонгальский Максим,common,-0.25,0,-1.57142857142857,0.25,1,33,1184
39,Горник Александр,common,0,-0.5,-1.14285714285714,-1.25,-0.5,21,1058
40,Гребнева Ирина,common,-2.5,-0.75,0.714285714285714,0.75,1.5,23,376
41,Гудков Дмитрий,common,-1,0,-0.571428571428571,0.5,1,101,1238
42,Гуляев Сергей,common,-1,-0.25,1,0,1.25,60,495
43,Давыденко Денис,common,1.25,1.75,1.14285714285714,0.5,0.25,14,307
44,Давыдов Андрей,common,0.5,0.25,-0.714285714285714,1.25,1.75,15,331
45,Дегтярь Иван,common,-0.5,0.5,-0.142857142857143,0.5,1.5,69,626
46,Демидов Михаил,common,-0.75,0.25,-0.428571428571429,0.5,1,127,505
47,Дергачев Вадим,common,-1.75,-2,1.14285714285714,-1.25,1,21,797
48,Дзядко Филипп,common,-1.75,-1,0.285714285714286,-1,1.75,37,1885
49,Доброхотов Роман,common,-2.5,-1.5,0.142857142857143,0.5,0,19,1330
50,Доможиров Евгений,common,-1,-0.5,1.28571428571429,0.25,0.75,34,365
51,Езеев Федор,common,-0.25,0.75,0.285714285714286,-0.5,0.75,84,1184
52,Жиляев Арсений,common,0.75,0.25,-0.142857142857143,1.75,1.75,2,480
53,Зорин Константин,common,2,0.5,-0.571428571428571,1,0,14,270
54,Иванов Андрей,common,-1.25,0.25,0.142857142857143,1,1.25,31,301
55,Илларионов Андрей,common,-2.25,-1.5,1.28571428571429,-1.25,1.75,35,1544
56,Кара-Мурза Владимир,common,-2,-1.75,0.857142857142857,-0.75,1.5,8,1018
57,Каржаева Неонила,common,-0.5,0.5,0.714285714285714,1,2,18,217
58,Каспаров Гарри,common,-1.75,-0.5,1.57142857142857,0.75,1.5,21,1134
59,Кац Максим,common,-2,-1,-1,-1.25,1.25,45,1296
60,Кашин Олег,common,-2.25,-1.5,0.428571428571429,-0.5,1.75,42,1532
61,Козырев Олег,common,-1.75,0,0.428571428571429,0,0.75,89,1360
62,Колганов Антон,common,2.25,1.75,1.28571428571429,1.75,1,6,117
63,Колесников Сергей,common,-1.75,-1.25,0.428571428571429,0,1.5,24,615
64,Колчинцев Вадим,common,0,1.25,1.28571428571429,1.5,1,21,761
65,Колюцкий Григорий,common,-0.25,0.75,0.714285714285714,1.75,0.75,20,762
66,Коровин Вадим,common,-1.75,-0.75,1.57142857142857,-0.5,1,44,1042
67,Крашенинников Федор,common,-1.75,0.25,0.571428571428571,-0.25,2,22,1194
68,Крылов Олег,common,-1,-0.75,0,-1,0,46,285
69,Крюков Василий,common,0.75,0.75,0.857142857142857,0.5,1,36,174
70,Кузин Евгений,common,-2.5,-0.75,0.428571428571429,-0.25,0.75,24,891
71,Кузнецов Андрей,common,-0.75,0.5,0.428571428571429,0.25,0.5,165,299
72,Курамшин Владимир,common,1.25,0,-0.714285714285714,-0.25,-1,9,547
73,Лавров Андрей,common,-2,-0.75,0.571428571428571,0,1,86,724
74,Лазарева Татьяна,common,-0.25,0.25,-0.571428571428571,-0.25,1,92,1266
75,Лазуренко Северский,common,-2,-0.5,0.285714285714286,-1.25,1.75,54,789
76,Левченко Екатерина,common,-1.25,0,0,0,1.75,79,459
77,Левшиц Николай,common,0.5,0,-0.142857142857143,0.75,1.25,99,608
78,Литвинов Георгий,common,-0.5,-0.25,-0.142857142857143,0.5,1.5,38,118
79,Лоскутов Артем,common,-1.25,-1,0.428571428571429,1,1.5,57,481
80,Лукьянова Елена,common,-1.5,-0.25,-0.142857142857143,0.25,1,31,1017
81,Магкоева Белла,common,0.25,-1,0.714285714285714,1.75,1.5,28,959
82,Малышев Владимир,common,-2,-0.25,0.857142857142857,0.5,1,43,860
83,Мальцева Анастасия,common,-0.5,-1,1,2,0.75,12,425
84,Марянин Игорь,common,-1,-0.5,0,-0.5,0.25,133,390
85,Матвеев Михаил,common,1.5,1.25,0.857142857142857,1.25,0.5,32,908
86,Мирзоев Владимир,common,-1.5,-1.25,1.42857142857143,0.75,2,14,908
87,Митюшкина Надежда,common,-1.25,-1.25,0.428571428571429,0,1.5,52,305
88,Мокшанов Александр,common,-1,-0.25,0.571428571428571,-1.25,1,41,296
89,Моша Юрий,common,-1.75,-1.25,1,-0.25,1.75,4,434
90,Мухин Юрий,common,2,0.5,0.285714285714286,1.5,1,13,211
91,Мыльникова Марина,common,0.5,0.5,-0.714285714285714,1,0.25,65,213
92,Навальный Алексей,common,-1.25,0.5,1,-0.75,1.25,91,2639
93,Наганов Владислав,common,0.5,0.5,0.285714285714286,1,0.25,35,1971
94,Надеев Анджей,common,2.25,1,0,1.75,0.25,5,0
95,Некрасов Дмитрий,common,-2.25,-0.5,-0.714285714285714,-1.25,0.75,77,887
96,Немцов Борис,common,-2.5,-0.25,0.285714285714286,-0.5,1,44,1371
97,Ободина Стелла,common,1,1,-0.714285714285714,1.25,1.75,12,224
98,Образцова Алиса,common,-0.5,-1,-0.142857142857143,-0.5,1,59,346
99,Овдиенко Игорь,common,-1.5,0,-0.285714285714286,0.25,1,48,464
100,Ольшанский Леонид,common,1.75,1,-0.857142857142857,1,0.25,81,261
101,Осенин Владимир,common,-2.5,-1.25,0.857142857142857,-1.25,1,64,397
102,Отставных Валерий,common,-0.25,-0.5,-0.285714285714286,1.25,0.25,90,633
103,Панибратченко Андрей,common,0.25,0,-0.428571428571429,0.5,0,91,61
104,Пархоменко Сергей,common,-2.25,-1.25,-0.285714285714286,-1.75,-0.25,35,923
105,Первушин Александр,common,-2.25,-2,1.28571428571429,0,1.25,24,268
106,Петречук Лариса,common,-0.75,-0.25,-0.285714285714286,0,1.75,66,227
107,Пионтковский Андрей,common,-0.5,-0.75,0.571428571428571,0.75,1.5,60,1712
108,Поляков Анатолий,common,1.5,2,0.857142857142857,1.25,2,10,385
109,Пономарев Илья,common,0,-0.5,0.285714285714286,1.5,2,3,692
110,Поткин Басманов,common,1,2,2,0.5,1,3,331
111,Пряников Павел,common,0.75,-0.5,0.428571428571429,1.75,2,21,408
112,Путенихин Дмитрий,common,-0.5,-1,1.85714285714286,0.75,1.75,5,577
113,Пушкарева Наталья,common,0,-1.25,-1,0.5,0.25,33,644
114,Радостева Наталья,common,1.25,1,1,1.75,1,15,774
115,Ренёв Денис,common,-1.25,0.25,-0.142857142857143,-0.25,0,81,553
116,Романовский Владимир,common,0,-1,-1.14285714285714,0.75,1.25,24,247
117,Русакова Елена,common,-1.5,-1.5,0.142857142857143,0.5,1.5,87,1192
118,Савостин Михаил,common,0.25,1,0.428571428571429,1,1.5,42,617
119,Сайдашев Радик,common,-2,0,0.285714285714286,-0.5,1.75,30,521
120,Самсонов Артём,common,-0.25,-0.25,-0.142857142857143,0.75,1.5,14,341
121,Сангаев Игорь,common,1.5,0,0.571428571428571,2,1.25,3,753
122,Семенов Владимир,common,0.5,1,0.857142857142857,0.75,1.5,47,690
123,Семенов Игорь,common,-0.5,0,-0.428571428571429,1,1.5,16,457
124,Скалаух Иван,common,-1,-0.25,-0.285714285714286,0.5,1.5,67,1242
125,Смирнов Сергей,common,-0.25,-1,1,0.25,1.75,20,484
126,Соболь Любовь,common,-2.25,-1.25,0.714285714285714,-0.25,0.75,73,2198
127,Собчак Ксения,common,-1.5,0,-1,-0.5,1,91,1098
128,Спорыхина Ульяна,common,-0.5,1.5,0.428571428571428,1.5,0.75,29,339
129,Стефанов Борис,common,-0.25,0.75,0.857142857142857,1.25,0.75,82,271
130,Сухарева Татьяна,common,-2,-0.25,-0.142857142857143,0.25,0.75,113,258
131,Сухоруков Дмитрий,common,1.25,1.75,0.857142857142857,0.5,1.25,20,134
132,Терегулов Артур,common,-0.5,-1,1,-0.75,1.5,25,88
133,Удальцова Анастасия,common,0.5,1,0.428571428571429,0.5,2,30,169
134,Холмогорова Наталия,common,0.5,1.5,0.428571428571429,1,1.5,15,594
135,Чернышева Наталья,common,0,0.75,1.42857142857143,1.5,1.25,21,1059
136,Чупров Алексей,common,-1.75,-1,1,0,2,25,534
137,Шатов Станислав,common,-1.5,-2,0.285714285714286,1,0,18,131
138,Шац Михаил,common,-1.25,-0.25,-0.571428571428571,0.5,0.75,120,1485
139,Шнейдер Михаил,common,-2.25,-1.75,-0.142857142857143,-0.5,0.5,46,565
140,Шулипа Юрий,common,-1.5,-0.25,1,0,1.75,42,224
141,Щербаков Александр,common,-0.75,-0.75,0,0.5,1,88,427
142,Эсауленко Дмитрий,common,-0.75,-0.75,-0.571428571428571,1.25,2,11,220
143,Янкаускас Константин,common,-0.5,-0.25,0,0,1,121,1418
144,Яшин Ясин,common,1.75,-0.75,0.428571428571429,2,1.25,10,514
145,Яшин Илья,common,-1.5,-0.5,0.142857142857143,0,1.25,79,1918
146,Аитова Екатерина,left,-1.75,-1,0.714285714285714,0,0.75,38,0
147,Андреянов Сергей,left,2.25,1,0.571428571428571,2,1,6,221
148,Волкова Александра,left,1.75,-0.75,0.285714285714286,2,1.25,2,788
149,Гаскаров Алексей,left,1.75,-0.5,-0.142857142857143,1.75,1.25,7,603
150,Кавказский Николай,left,1,0,1.42857142857143,2,0.75,8,410
151,Николаев Александр,left,1,2,0.714285714285714,1.5,1,17,67
152,Палчаев Аким,left,0.25,0.25,0.285714285714286,1,1.75,27,136
153,Печенев Александр,left,0.75,1,0.285714285714286,1,1.5,33,275
154,Развозжаев Леонид,left,1.5,0,0.142857142857143,1,0.75,16,127
155,Рафаилов Георгий,left,1.25,-0.5,0.857142857142857,2,0.5,12,304
156,Санников Максим,left,-0.5,-0.5,0.428571428571429,0.75,0.5,30,1137
157,Сахнин Алексей,left,1.75,0,1.28571428571429,2,-1,0,509
158,Шалимов Роман,left,0.25,1,-0.142857142857143,1.75,0.25,17,542
159,Давидис Сергей,lib,-1.75,-1,0.571428571428571,-0.5,1.5,44,1188
160,Долгих Антон,lib,-1.5,0,0.428571428571429,0.75,1.75,78,326
161,Завесов Александр,lib,-2.25,-1.5,1.57142857142857,0,2,5,272
162,Залесский Александр,lib,-2.5,-2,1.28571428571429,-1.75,1,16,572
163,Каретникова Анна,lib,-0.75,-0.75,0.428571428571429,0.5,1,44,566
164,Пивоваров Андрей,lib,-1,-1.25,0.428571428571428,-0.75,1.5,33,1280
165,Рыклин Александр,lib,-2.25,-1,0.571428571428571,-1,1.75,32,574
166,Тютрин Иван,lib,-1.75,-0.25,0.857142857142857,-1,1.75,24,887
167,Царьков Пётр,lib,-1.25,-0.5,0.285714285714286,-0.25,1.5,42,611
168,Шальнев Андрей,lib,-2.5,-1.5,0.714285714285714,-1,1.75,20,482
169,Шелков Павел,lib,-0.25,0.75,1,-0.5,1.5,60,215
170,Артёмов Игорь,naz,1.5,1.25,1.14285714285714,1.5,1.5,5,234
171,Воробьев Станислав,naz,0.75,1.75,1,1,-0.75,18,72
172,Демушкин Дмитрий,naz,-0.5,1.5,0.857142857142857,0.5,1.25,16,244
173,Дровецкий Василий,naz,-1.5,0.75,0.857142857142857,0.5,2,71,330
174,Константинов Даниил,naz,0,0.75,1,0.75,0.75,43,610
175,Крылов Константин,naz,0.25,0.75,0.285714285714286,0.5,1.25,109,812
176,Поткин Белов,naz,-0.5,0.75,1.28571428571429,0,0.5,9,440
177,Радченко Всеволод,naz,0.5,1,0.428571428571428,0.5,1.25,54,215
178,Резчиков Абанин,naz,-0.25,1,0.714285714285714,-0.25,1.25,35,583
179,Тюрин Андрей,naz,-1,1.25,1.28571428571429,0,1.75,22,292
