"","","curias","x","y"
"1","Aleksandrova-Zorina","1","-7.30238608097836","-1.14465303446032"
"2","Anshakov","1","0.307660063570135","0.554019218801437"
"3","Ashurkov","1","4.63276579107651","-0.476186034098431"
"4","Badykova","1","-4.37372088845594","-0.738328854356609"
"5","Bakirov","1","0.997575402207849","1.24374120882754"
"6","Balasanov","1","2.26318303969296","1.76864156970927"
"7","Barabash","1","-6.84623850087124","-1.2171481376886"
"8","Baronova","1","0.0898872821163474","0.999742909793571"
"9","Bezzub","1","2.6252828044923","2.72758798548784"
"10","Bezrukih","1","1.59117885814393","-1.32919533397374"
"11","Bilunov","1","0.130534823277052","-1.8329566808334"
"12","Blindul","1","-4.47319283255136","1.6587187652158"
"13","Brusilovskij","1","-2.05462340105756","0.553625178542547"
"14","Budnikova","1","-5.51611836864496","-0.187035085356253"
"15","Bystrov","1","2.22839231239255","-0.578526577756394"
"16","Vasileva","1","3.03707713298642","-1.45861126454135"
"17","Vinogradov","1","-1.71362207479031","-3.85866260962084"
"18","Vinokurov","1","3.80452377064083","0.716929382290525"
"19","Vituhnovskaya","1","0.575388220090031","-2.52398570112121"
"20","Vlasov","1","0.978521758909155","2.29623412679118"
"21","Gavrilov","1","2.76547444613326","4.85810184211088"
"22","Gazaryan","1","2.56841090175171","1.41032092904122"
"23","Galyamina","1","4.06985189181471","0.438457576123203"
"24","Garnachuk","1","3.6784910887469","1.41768921243843"
"25","Gelfand","1","4.7802646581227","2.74925599911444"
"26","Gluskin","1","-5.8227229452679","1.77922882587708"
"27","Golovin","1","3.36109217781251","1.04663381213745"
"28","Gongalskij","1","0.249997157693666","4.85420982840925"
"29","Gornik","1","1.56328989595317","5.29060342060158"
"30","Gotsdanker","1","2.19496929172285","-2.28987276322607"
"31","Grebneva","1","2.77629154291534","-0.932508832086484"
"32","Davydenko","1","-4.49831881775006","-1.93045228242508"
"33","Davydov","1","-2.27263372371574","3.66923675736109"
"34","Degtyar","1","-2.12650764736288","0.149035218312559"
"35","Delyagin","1","-4.48696585040571","2.26340139433574"
"36","Demidov","1","-0.538687949714131","2.25171631488605"
"37","Dergachev","1","4.75742228858502","-3.59738671413068"
"38","Dzyadko","1","3.37639712602788","0.045736329402386"
"39","Dobrohotov","1","3.9551934015672","-1.54252204538786"
"40","Domozhirov","1","0.733995648079765","-1.32781162106976"
"41","Ezeev","1","-0.218729259195577","2.44081603476918"
"42","Zorin","1","-4.56936795242207","2.04602627164009"
"43","Ivanov_A.","1","-0.204021932400047","-0.199212500921825"
"44","Illarionov","1","4.51871719916865","-1.97811667968256"
"45","Kara-Murza","1","4.53426781249167","-1.17973549592965"
"46","Karzhaeva","1","-1.71975078769037","-1.80719592493357"
"47","Kasparov","1","1.25026213208491","-2.63646233197832"
"48","Kats","1","4.54497706587629","3.16017219265302"
"49","Kashin","1","4.17235615506798","-0.58760617617452"
"50","Kozyrev","1","2.4329351649729","-0.308597209593867"
"51","Kolganov","1","-6.8839244074769","-1.21909136772653"
"52","Kolchintsev","1","-3.7967923219082","-3.2109694402693"
"53","Kolyutskij","1","-2.95279821267223","-1.92876450387325"
"54","Korovin","1","2.72777578398157","-2.05056062085473"
"55","Krasheninnikov","1","1.68459426075988","0.249036286479259"
"56","Krylov_O.","1","2.55797276743078","-0.0379147740983323"
"57","Kryukov","1","-3.09893624901457","-0.212190937557533"
"58","Kuzin","1","3.26065292076686","0.822164486392516"
"59","Kuznetsov","1","-0.635701576431181","-0.850805270805417"
"60","Kuramshin","1","-2.14621819655632","3.3544511039091"
"61","Lavrov","1","3.40761799110333","-0.200827494268098"
"62","Lazurenko","1","3.41107521989388","-0.723312405719073"
"63","Levchenko","1","1.02140886968298","1.42906748580987"
"64","Levshits","1","-1.50450531129931","1.63012101669816"
"65","Litvinov","1","-0.238188299534275","2.61421623078935"
"66","Magkoeva","1","-1.78248783141307","-3.61359460857024"
"67","Malyshev","1","1.70286634731025","-1.70211463936001"
"68","Maltseva","1","-1.61710191549319","-3.04030758856736"
"69","Maryanin","1","1.84098315975462","1.33173577830714"
"70","Matveev","1","-5.38333309030482","1.11527195469792"
"71","Mirzoev","1","1.32812652449942","-1.39710878139883"
"72","Mityushkina","1","2.38273114199865","-0.907522080139002"
"73","Mokshanov","1","2.02252224733947","2.05764804402338"
"74","Muhin","1","-4.85589913436504","-1.95237004582565"
"75","Naganov","1","-3.14839487550568","1.95659089423029"
"76","Nadeev","1","-6.30662880255925","3.52046155569468"
"77","Nekrasov","1","4.5107090223168","4.60615867271683"
"78","Obraztsova","1","2.16526841136586","-0.5892188585039"
"79","Ovdienko","1","0.783836996036859","2.22605253175317"
"80","Olshanskij","1","-4.10820291679482","3.93299227321872"
"81","Osenin","1","5.02997586941686","-1.99667437109265"
"82","Otstavnyh","1","-0.695320356337054","0.195267078325881"
"83","Parhomenko","1","5.31652044180571","2.61390428525053"
"84","Pervushin","1","4.15217172708762","-4.66224603075902"
"85","Petrechuk","1","0.658282928345152","0.782231424469028"
"86","Piontkovskij","1","0.165287860719905","-1.99387833147664"
"87","Polyakov","1","-5.77905493802561","0.504935152757763"
"88","Ponomarev","1","-1.66355540872097","-0.627124456879769"
"89","Potkin_(Basmanov)","1","-4.73624111456553","-2.41020722612075"
"90","Pryanikov","1","-2.59422377915341","1.13821977470395"
"91","Renyov","1","1.09519480094258","1.23442495172619"
"92","Romanovskij","1","-0.00797642389433526","3.06998561178709"
"93","Rusakova","1","2.29230974606811","-1.61424536497432"
"94","Savostin","1","-2.72301661436974","0.033807827646325"
"95","Sajdashev","1","2.67764900766912","0.67040939422315"
"96","Samsonov","1","-0.752312255582914","0.452897078377504"
"97","Semenov_V.","1","-3.24486964945748","-0.3641686411748"
"98","Semenov_I.","1","-0.784871609417508","2.24803203120023"
"99","Skalauh","1","0.512750229070907","1.01203325204965"
"100","Smirnov","1","0.374261168522251","-3.5656163509972"
"101","Sporyhina","1","-3.34092785156488","-1.16513029890277"
"102","Stefanov","1","-2.02086002909471","-2.27518136961821"
"103","Suhareva","1","2.64535958331372","2.08600404393947"
"104","Suhorukov","1","-4.38345132530464","-0.855368573388156"
"105","Teregulov","1","1.40281231211319","-0.676839921460228"
"106","Udaltsova","1","-2.49782639429753","1.35657208005527"
"107","CHuprov","1","4.23017929575346","-2.0508455836628"
"108","SHatov","1","0.475833987542389","0.691843294697304"
"109","SHats","1","0.767700872066912","0.502057182423422"
"110","SHnejder","1","5.04990398729279","1.09600731221263"
"111","SCHerbakov","1","1.0238071067421","-0.629991403764497"
"112","Esaulenko","1","0.270766330531037","0.56527195781773"
"113","YAnkauskas","1","0.412281090154543","-0.363008468021624"
"114","YAshin_(YAsin)","1","-3.5621684017308","-1.25300265183075"
"115","Aitova","2","2.446415230431","-0.280237724082031"
"116","Volkova_A.","2","-3.64887599220818","-1.25420925962818"
"117","Kavkazskij","2","-3.74959414964905","-2.80071247295538"
"118","Nikolaev","2","-6.04898938482614","-0.355430860687647"
"119","Pechenev","2","-3.54183465015941","1.85091708684676"
"120","Rafailov","2","-4.05306052936225","-2.67735213502186"
"121","Sannikov","2","0.066060238949992","-2.00017752734364"
"122","SHalimov","2","-3.07969350049639","1.22911270537909"
"123","Davidis","3","3.40178379749771","-1.27998526876945"
"124","Dolgih","3","1.67075043711866","-1.13086600411916"
"125","Zalesskij","3","5.93351251298405","-2.49623748280547"
"126","Karetnikova","3","0.957355379807282","0.04326132227694"
"127","Pivovarov","3","2.56272454977974","0.725867261156805"
"128","Tyutrin","3","2.99980368870395","-2.92760908598267"
"129","TSarkov","3","2.05973884139172","1.21833186153207"
"130","SHalnev","3","4.97758741255028","-2.29680553840527"
"131","Artyomov","4","-5.59727086077423","0.565503099665434"
"132","Vorobev","4","-5.17132215899154","-2.01932445245694"
"133","Demushkin","4","-2.52827289332329","1.28020826913364"
"134","Drovetskij","4","-0.432686713336729","-4.10664240492224"
"135","Krylov_K.","4","-2.14855126555171","1.02560661114115"
